# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology	 Term Name 	 Hyper Rank 	 Hyper Raw P-Value 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Foreground Region Hits 	 Hyper Total Regions 	 Hyper Region Set Coverage 	 Hyper Foreground Gene Hits 	 Total Genes Annotated
GO Biological Process	specification of nephron tubule identity	1	0.000001568788	0.009801787424	4.880923	14	927	0.04844291	4	5	
GO Biological Process	pattern specification involved in kidney development	2	0.000005694149	0.017788521476	4.087523	15	1186	0.05190311	5	9	
GO Biological Process	regulation of epithelial cell proliferation involved in lung morphogenesis	3	0.000009936535	0.020694490226666664	6.71751	9	433	0.03114187	2	5	
GO Biological Process	nephron tubule formation	5	0.00001147656	0.014341109376	3.850518	15	1259	0.05190311	5	14	
GO Biological Process	proximal/distal pattern formation	6	0.00001978872	0.02060665376	3.185851	18	1826	0.06228374	7	32	
GO Biological Process	nephron tubule morphogenesis	7	0.00003368066	0.030062394811428573	3.50528	15	1383	0.05190311	5	21	
GO Biological Process	loop of Henle development	8	0.00003519535	0.02748756835	3.693564	14	1225	0.04844291	4	11	
GO Biological Process	segment specification	9	0.00004009266	0.027833215519999996	3.648884	14	1240	0.04844291	4	17	
GO Biological Process	renal tubule morphogenesis	10	0.0000649644	0.04058975712	3.151121	16	1641	0.05536332	6	25	
MGI Expression: Detected	TS21_digit mesenchyme	1	1.314627e-7	0.0007222560738	5.553039	15	873	0.05190311	4	10	
MGI Expression: Detected	TS21_phalanx pre-cartilage condensation	2	2.645052e-7	0.0007265957843999999	6.864146	12	565	0.04152249	2	7	
MGI Expression: Detected	TS20_lobar bronchus	3	9.015693e-7	0.0016510739114	6.810451	11	522	0.03806228	2	6	
MGI Expression: Detected	TS15_branchial groove	4	0.000001108285	0.0015222294475	7.568779	10	427	0.03460208	2	8	
MGI Expression: Detected	TS21_footplate mesenchyme	5	0.000002520269	0.0027692715772000003	4.683867	14	966	0.04844291	4	21	
MGI Expression: Detected	TS15_1st branchial arch ectoderm	6	0.000004847141	0.004438365442333334	4.143421	15	1170	0.05190311	5	18	
MGI Expression: Detected	TS15_laryngo-tracheal groove	8	0.000006108375	0.00419492653125	4.657904	13	902	0.0449827	3	9	
MGI Expression: Detected	TS15_tracheal diverticulum	8	0.000006108375	0.00419492653125	4.657904	13	902	0.0449827	3	8	
MGI Expression: Detected	TS15_respiratory tract	10	0.000007027543	0.0038609321241999998	4.59675	13	914	0.0449827	3	10	
MGI Expression: Detected	TS21_dermis	11	0.000007103925	0.003548087631818182	4.984887	12	778	0.04152249	2	17	
MGI Expression: Detected	TS15_2nd branchial arch ectoderm	14	0.00001122014	0.004403103511428572	4.1021	14	1103	0.04844291	4	17	
MGI Expression: Detected	TS22_hindlimb phalanx cartilage condensation	15	0.00001379776	0.005053659562666666	4.661349	12	832	0.04152249	2	11	
MGI Expression: Detected	TS23_rest of skin epidermis	18	0.00002094507	0.006392900809999999	3.309745	17	1660	0.05882353	6	150	
MGI Expression: Detected	TS21_limb digit	19	0.00002241022	0.006480092035789473	3.291897	17	1669	0.05882353	5	29	
MGI Expression: Detected	TS23_forelimb digit 1	20	0.00002257932	0.006202539204	2.836157	21	2393	0.07266436	8	59	
MGI Expression: Detected	TS23_forelimb digit 1 mesenchyme	21	0.00003585735	0.009380965757142859	2.83373	20	2281	0.06920415	7	53	
MGI Expression: Detected	TS23_digit 5 metatarsus	22	0.00003905711	0.009753625560909092	2.5828	23	2878	0.07958478	9	70	
MGI Expression: Detected	TS23_heart ventricle	27	0.00006949337	0.01414061388074074	2.325085	26	3614	0.0899654	12	246	
MGI Expression: Detected	TS23_extrinsic ocular muscle	28	0.00006957411	0.013651434297857144	2.549341	22	2789	0.07612457	9	66	
MGI Expression: Detected	TS20_forelimb digit	30	0.00007555407	0.013836468686	2.981105	17	1843	0.05882353	4	24	
MGI Expression: Detected	TS23_medulla oblongata alar plate marginal layer	31	0.00007585909	0.013444188401935484	4.222156	11	842	0.03806228	5	22	
MGI Expression: Detected	TS23_forelimb digit 2 mesenchyme	32	0.000100891	0.0173217235625	2.625401	20	2462	0.06920415	7	68	
MGI Expression: Detected	TS23_forelimb digit 2	33	0.0001064706	0.01772574170909091	2.61478	20	2472	0.06920415	7	72	
MGI Expression: Detected	TS23_eye skeletal muscle	34	0.000114924	0.018570366352941178	2.401712	23	3095	0.07958478	10	110	
MGI Expression: Detected	TS21_lobar bronchus	35	0.0001195029	0.018758540931428574	4.007954	11	887	0.03806228	2	26	
MGI Expression: Detected	TS15_foregut	36	0.0001211632	0.01849085057777778	2.06573	31	4850	0.1072664	12	125	
MGI Expression: Detected	TS22_embryo mesenchyme	37	0.000122462	0.01818395210810811	2.202434	27	3962	0.09342561	12	133	
MGI Expression: Detected	TS21_lower jaw incisor epithelium	40	0.0001668193	0.022912630855	3.855808	11	922	0.03806228	3	21	
MGI Expression: Detected	TS23_surface epithelium of labioscrotal swelling of male	41	0.0001810318	0.024258261200000002	5.202203	8	497	0.02768166	3	9	
MGI Expression: Detected	TS18_oral region	43	0.0002459022	0.031418295041860465	3.999837	10	808	0.03460208	2	16	
MGI Expression: Detected	TS22_footplate mesenchyme	44	0.0002782508	0.03474340670909091	3.387111	12	1145	0.04152249	2	21	
MGI Expression: Detected	TS23_digit 4 metatarsus	45	0.0003016972	0.036833875928888885	2.244353	23	3312	0.07958478	9	96	
MGI Expression: Detected	TS23_digit 3 metatarsus	48	0.0003494418	0.039996526025	2.095999	26	4009	0.0899654	10	107	
MGI Expression: Detected	TS23_digit 2 metatarsus	49	0.0003695609	0.04143607315510204	2.088185	26	4024	0.0899654	10	104	
MGI Expression: Detected	TS20_lung epithelium	50	0.0004003501	0.043990468988	2.300652	21	2950	0.07266436	7	52	
MSigDB Perturbation	Genes within amplicon 5p15 identified in a copy number alterations study of 191 breast tumor samples.	1	1.075111e-10	3.608072516e-7	13.90051	12	279	0.04152249	6	24	
MSigDB Perturbation	Down-regulated genes discriminating between MSI (microsatellite instability) and MSS (microsatellite stability) colon cancers.	2	4.784002e-8	0.00008027555356	4.89677	18	1188	0.06228374	4	75	
MSigDB Perturbation	Genes up-regulated in U87MG cells (glioblastoma multiforme) after knockdown of PRKCI [GeneID=5584] by RNAi.	6	0.0000415683	0.0232505358	7.694925	7	294	0.02422145	2	35	
MSigDB Perturbation	Genes with high histone H3 trimethylation mark at K27 (H3K27me3) in PC3 cells (prostate cancer) by ChIP-chip assay on a 12K CpG array (high-CpG-density promoters, HCP).	7	0.00007401265	0.03548377905714286	2.417103	24	3209	0.08304498	11	90	
MSigDB miRNA Motifs	Targets of MicroRNA ATGTAGC,MIR-221,MIR-222	1	0.0001539412	0.0340210052	2.134253	28	4240	0.09688581	12	137	
InterPro	Iroquois-class homeodomain protein	1	1.727853e-7	0.0003234540816	5.434756	15	892	0.05190311	4	6	
TreeFam	IRX1, IRX2, IRX3, IRX5, IRX6, ...	1	0.00001021451	0.0029622078999999996	4.436567	13	947	0.0449827	3	6	
MSigDB Immunologic Signatures	Genes up-regulated in comparison of lineage negative versus CD4 [GeneID=920] T cells.	1	0.00001048482	0.020026006199999998	3.209906	19	1913	0.06574394	7	194	
