chr12	112380949	112381824
chr3	137446183	137449401
chr13	106327355	106329352
chr14	61623576	61624578
chr8	47855925	47857600
chr4	89093102	89095795
chr12	100576830	100579481
chr13	59191545	59195519
chr18	33711719	33714035
chr12	45503506	45506757
chr15	99637507	99640125
chr18	75661251	75665484
chr8	87252801	87256604
chr2	11986812	11989646
chr5	78712411	78714500
chr18	61768056	61770754
chr2	174682050	174686081
chr5	93560103	93564752
chr8	105601137	105602891
chr13	3740315	3743791
chr5	19584950	19588606
chr5	5007239	5009906
chr11	53870165	53872917
chr10	85756972	85760162
chr2	71256536	71260128
chr4	82561277	82564175
chr6	98062388	98064826
chr11	62796906	62800452
chr19	53790059	53791936
chr11	65022357	65023959
chr13	73435722	73437761
chr9	63892591	63894756
chr8	35014293	35017541
chr8	97950408	97952214
chr3	151966087	151968814
chr15	62897257	62899166
chr10	56698914	56701622
chr2	172687463	172689668
chr18	33450904	33453872
chr5	122542227	122544777
chr12	84173382	84175400
chr7	119441339	119442936
chr4	131631431	131635142
chr17	29570606	29572303
chr17	73371503	73373491
chr11	65462408	65465145
chr3	20044305	20045900
chr17	12982583	12985936
chr17	35856798	35858730
chr15	84047967	84051143
chr2	172860299	172862341
chr8	122894800	122896576
chr9	66888473	66891328
chr11	32145270	32146411
chr11	46014860	46016769
chr12	12185902	12186724
chr15	66655863	66658724
chr15	76867070	76869194
chr16	92427698	92430376
chr17	7472842	7474317
chr18	57056572	57058645
chr1	189731408	189732935
chr16	92340745	92342262
chr1	191011153	191012480
chr12	70858396	70860249
chr11	86399698	86401331
chr9	24691516	24694512
chr5	132705022	132706230
chr13	46666689	46669718
chr1	185865149	185866641
chr8	28216799	28218903
chr18	11371312	11374453
chr5	74757294	74759586
chr10	20204708	20208573
chr3	104400858	104404522
chr5	120585787	120586943
chr4	120064208	120066551
chr11	77235971	77237943
chr1	67841503	67843038
chr8	33052477	33055465
chr18	80526858	80529100
chr11	11856745	11857746
chr17	12396817	12398613
chr4	118691756	118692681
chr7	87589954	87591386
chr7	87933824	87935070
chr8	80511214	80513034
chr18	78532521	78533281
chr7	132907561	132908867
chr11	11861859	11862624
chr13	34919435	34920768
chr2	113949124	113949618
chr7	150297965	150298873
chr5	20834972	20836929
chr5	93056779	93057403
chr9	70682343	70683041
chr13	41738581	41740052
chr2	31983250	31984106
chr8	122815912	122818693
chr10	80236556	80237744
chr9	62262456	62263484
chr11	68436977	68437676
chr10	43465944	43466484
chr13	42353470	42354420
chr8	123694003	123695039
chr17	48575655	48577860
chr14	63681001	63681903
chr14	63986626	63988682
chr6	117229227	117230427
chr9	47184595	47185443
chr5	38900507	38901138
chr18	75662017	75663321
chr12	86795350	86797239
chr4	57858433	57860639
chr11	87235852	87237215
chr13	28809515	28811310
chr16	34049726	34050766
chr19	21348574	21349333
chr2	152224827	152225462
chr17	49830106	49831273
chr4	66555426	66556324
chr2	59666830	59667418
chr18	32701598	32702895
chr12	53329835	53330413
chr12	90222342	90223370
chr9	103581439	103581987
chr18	68218430	68219367
chr4	94984220	94985425
chr3	145627063	145627893
chr10	96170954	96171491
chr4	154608788	154610276
chr8	124191855	124194841
chr19	47982949	47985086
chr15	85336360	85340036
chr2	28379879	28382466
chr14	35007307	35009236
chr16	15194506	15196209
chr14	47230345	47231452
chr5	19999592	20000707
chr5	24236372	24237661
chr6	50771118	50773588
chr6	50874547	50876236
chr6	50906955	50908237
chr6	50931070	50932329
chr6	51807234	51808613
chr14	24339368	24340820
chr2	4218373	4222502
chr2	4269384	4270399
chr2	4282954	4283735
chr5	38209891	38210884
chr5	38292345	38293732
chr3	121750389	121752165
chr11	88087581	88089577
chr19	59341618	59342768
chr15	62734249	62735455
chr13	119304645	119305832
chr3	88042154	88043297
chr7	83054869	83055568
chr1	59397706	59398890
chr12	103935837	103936982
chr3	28389991	28390831
chr11	98358273	98360049
chr1	134229247	134231039
chr4	32617371	32619734
chr12	85516641	85517693
chr3	9346755	9348294
chr3	40018497	40019542
chr2	25987803	25989243
chr7	19904756	19905615
chr11	94742242	94745125
chr10	119989014	119990653
chr15	79780367	79782895
chr1	135388446	135390638
chr3	97745834	97746810
chr17	46022641	46024681
chr5	111937654	111939513
chr16	21310462	21311768
chr13	119639280	119640197
chr7	136886955	136888502
chr1	56343174	56344387
chr5	112006325	112007316
chr5	112030282	112031759
chr11	111429836	111430753
chr11	112641565	112642353
chr15	60989192	60990286
chr2	160070229	160070893
chr13	15756187	15757138
chr17	44859063	44860738
chr7	59026332	59028835
chr13	63727252	63729759
chr4	5723974	5727483
chr4	32388878	32392385
chr7	117306323	117309835
chr8	80195632	80196541
chr10	30948697	30949670
chr10	30772887	30773894
chr10	30753857	30755385
chr10	30717463	30718805
chr16	92344712	92345892
chr16	92340779	92342260
chr5	77558905	77560018
chr14	55615731	55616061
chr4	64898269	64900771
chr2	65500451	65502962
chr11	117726724	117728992
chr10	52461618	52464960
chr1	129450942	129453456
